author,name,aff
https://dblp.org/pid/159/2187,Khan Muhammad 0001,"Sungkyunkwan University, College of Computing and Informatics, VIS2KNOW Lab, Seoul, South Korea"
https://dblp.org/pid/159/5700,Julius Schöning,"University of Osnabrück, Germany"
https://dblp.org/pid/159/9067,Lorenza Brusini,"University of Verona, Italy"
https://dblp.org/pid/16/2365,Giuliano Casale,"Imperial College London, UK"
https://dblp.org/pid/16/6654,F. Richard Yu,"Carleton University, Ottawa, Canada"
https://dblp.org/pid/16/797,Salvador Ros 0001,"National University of Distance Education (UNED), Madrid, Spain"
https://dblp.org/pid/16/9515,Dario Garcia-Gasulla,"Barcelona Supercomputing Center (BSC), Spain"
https://dblp.org/pid/161/4400,Rodina Binti Ahmad,"University of Malaya, Kuala Lumpur, Malaysia"
https://dblp.org/pid/161/4751-1,Kedi Xu 0001,"Zhejiang University, Qiushi Academy for Advanced Studies, Hangzhou, China"
https://dblp.org/pid/162/3265-5,Yujun Zhou 0005,"South China Normal University, School of Information Technology in Education, China"
https://dblp.org/pid/164/5218,Laura-Maria Peltonen,"University of Turku, Finland"
https://dblp.org/pid/164/8802-2,Ateeq Ur Rehman 0002,"Hohai University, College of Internet of Things Engineering, China"
https://dblp.org/pid/164/9712,Dana V. Rad,"Aurel Vlaicu University of Arad, Romania"
https://dblp.org/pid/165/0280,Patrick Zschech,"University of Erlangen-Nuremberg, Germany"
https://dblp.org/pid/165/7846,Qi Dou 0001,"Chinese University of Hong Kong, China"
https://dblp.org/pid/166/4716,Michaël Clément,"Sorbonne Paris Cité, France"
https://dblp.org/pid/168/1174,Alexander N. Tselykh,"Southern Federal University, Rostov-on-Don, Russia"
https://dblp.org/pid/168/1551,Tula Giannini,"Pratt Institute - Manhattan Campus, New York, NY, USA"
https://dblp.org/pid/17/2703-8,Jie Li 0008,"Northeastern University, College of Computer Science and Engineering, Shenyang, China"
https://dblp.org/pid/17/457,Catia Pesquita,"Universidade de Lisboa, Portugal"
https://dblp.org/pid/17/525,Iyad Rahwan,"Max-Planck-Institut für Bildungsforschung, Berlin, Germany"
