doi,author1,name1,aff1,author2,name2,aff2
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
